GUQZUP    -1.9164704    2.06211975    2.085502488    -2.108885226    0.28623    0.30123    0.01963    2.29398951    2.164035301    -2.034081092    6.325782285    -1.310047346    1492.434    144    0.887162659    3.538892197    1201
HBZCOR    -1.7451777    1.64524786    1.8787    -2.11215214    0.454    0.34    0.03908    2.4662594    2.325514407    -2.184769414    6.4962397    -1.1818358    1279.403    120    0.954654231    3.78009    522
HPHBNZ03    -3.9462828    3.48524079    3.5453    -3.60535921    0.081    0.08    0.10039    3.7689091    3.627055479    -3.485201858    6.9336383    -0.3021625    1354.598    288    0.744379172    2.9888    534
IZUCIP    -1.819646    2.31177192    2.342    -2.37222808    0.0569    0.13    0.06677    2.6789087    2.392909884    -2.106911068    6.7428968    -0.7223771    1018.52    208    0.822192949    3.29231    404
JULSOY    -1.1466002    1.26344494    1.3204    -1.37735506    0.15    0.09    0.01251    1.6119428    1.446704759    -1.281466718    6.0455611    -1.6331443    1314.772    256    0.887267391    3.55112    526
KAFVUI    -1.1377805    1.8744752    1.9415    -2.0085248    0.0636    0.46    0.02626    2.2342288    1.972902619    -1.711576438    6.6976652    -0.9384666    757.391    155    0.866511692    3.47551    302
KAGFOP    -0.2377614    1.07522489    1.1104    -1.14557511    0.0681    0.14    0.01763    1.3135155    1.082003326    -0.850491152    5.9618819    -1.4977403    1148.497    232    0.804725369    3.23627    454
KAGFUV    -0.6541934    1.30072535    1.3422    -1.38367465    0.0687    0.08    0.10818    1.4807313    1.267783978    -1.054836656    6.0621876    -1.4891729    1133.184    448    0.837530568    3.34321    452
KAGGEG    0.02656852    0.7564887    0.8882    -1.0199113    0.433    0.237    0.03933    1.1718991    0.915982263    -0.660065426    6.1338424    -1.543181    761.281    76    0.853783837    3.44857    302
KAQLEV    -1.2954824    1.97904118    1.949750063    -1.920458946    0.50263    0.15274    0.1137    2.25792788    2.021960807    -1.785993734    6.554518359    -1.074798441    950.492    96    0.868181488    3.496379539    757
KECLAH    -0.10350622    0.72306451    0.66883867    -0.61461283    0.05625    0.10073    0.01239    0.8123167    0.614455381    -0.416594062    5.33819356    -2.1904949    2722.762    272    0.789513512    3.131358186    2167
KEGHEJ01    -0.6450667    0.919717    1.2164    -1.513083    0.199    0.85    0.02806    1.4900632    1.294364476    -1.098665752    7.2050552    -1.3540404    444.291    44    0.821539589    3.30329    176
KIDJUD03    -2.4052646    3.20663868    3.1481    -3.08956132    0.0948    0.14    0.0234    3.4191325    3.195304201    -2.971475902    7.0293821    -0.4095777    979.021    52    0.731983363    2.95825    382
KUBVUY    -1.1191868    1.99713568    2.0173    -2.03746432    0.0777    0.02    0.04554    2.2067994    2.038761934    -1.870724468    6.3887655    -1.1684331    1286.952    264    0.738169438    2.95241    506
KUBWAF01    -0.9622893    1.82657554    1.9314    -2.03622446    0.0942    0.13    0.02097    2.2107335    2.035184977    -1.859636454    6.548435    -1.0839045    896.05    184    0.782668163    3.14436    354
KUZXUA    -1.6294748    2.01119537    2.062186388    -2.113177406    0.55524    0.64343    0.02711    2.31449876    2.118847884    -1.923197008    6.563890861    -1.065011101    991.82    96    0.901681393    3.591666281    801
LIMCUF    -1.8808453    1.98911376    2.068520507    -2.147927254    0.115    0.36    0.03547    2.1900893    2.076310996    -1.962532692    6.1730361    -1.5892558    1370.471    144    0.832925644    3.4155    534
NAPANT01    -0.2742469    0.83134913    0.8835    -0.93565087    0.164    0.095    0.0447    1.0573827    0.868758018    -0.680133336    5.8688191    -1.7835296    1067.753    104    0.876730121    3.53344    426
OVALEN01    -1.0937916    1.57956611    1.6434    -1.70723389    0.44    0.15    0.08446    1.9388615    1.726784193    -1.514706886    6.3863022    -1.2708293    977.667    92    0.931796626    3.68977    398
PENCEN    -0.22090348    0.898    0.76706557    -0.63613114    0.123    0.112    0.06533    1.1351061    0.86856174    -0.60201738    6.1524529    -1.5840201    703.945    72    0.83574648    3.3884    278
PERLEN05    -0.75    1.48743395    1.558690833    -1.629947716    0.31386    0.47109    0.06533    1.8574216    1.598031417    -1.338641234    6.6187835    -1.0391634    633.476    128    0.857885696    3.451928928    252
PERLEN07    -0.6444379    1.236    1.452308017    -1.668616034    0.737    0.935    0.15852    1.8574216    1.598031417    -1.338641234    6.6187835    -1.0391634    633.476    64    0.865427201    2.98244    252
PEZPIU    -1.4410334    1.821    1.9353    -2.0496    0.151    0.05    0.02184    2.0288372    1.953248244    -1.877659288    6.6346645    -1.312538    1026.607    208    0.782184758    3.15311    404
