name,IP,EA,Et,gap
7223873/,7.178241757,-2.175393358,1.621226368,1.75546834
4502874/,6.119474077,-1.593492545,1.382182618,1.58486791
2239390/,8.338395122,-1.25951066,1.884114549,1.98868283
4027448/,8.315427171,-1.117898941,1.882329362,1.98393918
2102187/,7.485852192,-1.544937927,1.701884984,1.88927534
2102190/,7.485305635,-1.515393608,1.70448454,1.90627622
2012982/,7.75999529,-1.736911675,1.773234629,1.73774436
2229992/,7.946072341,-1.484092727,1.816045792,1.92821464
2228277/,8.081416347,-1.881273498,1.848738831,1.55709828
4031829/,7.116085979,-2.168863955,1.630212679,1.57853834
7055121/,8.258345711,-1.789907041,1.901102035,1.86453805
2206070/,7.623230098,-1.479446175,1.759779568,1.83893374
4506228/,7.59273011,-1.811808398,1.753679789,1.64498766
4509389/,7.850528506,-1.452385082,1.813461701,2.0142914
1543130/,8.160449674,-1.115709832,1.885371854,1.97623197
7154969/,7.203744328,-1.738494896,1.665290445,1.59001118
7154005/,7.343230639,-1.749259061,1.702597404,1.38173009
7112615/,6.771487642,-0.980306756,1.570717237,1.52010173
2213054/,8.147092428,-1.167748761,1.89079287,1.99710747
7154970/,7.486498166,-1.705646663,1.738080246,1.58695846
2206802/,7.874080613,-1.343101237,1.828412332,1.96144937
1506523/,7.832815542,-1.289533419,1.822690905,1.84779935
4030108/,7.379711018,-1.762326362,1.719971729,1.78261496
2217795/,7.864487266,-1.453971635,1.833038496,1.96846168
2226154/,7.94677149,-1.626952177,1.857747169,1.92290986
2201315/,8.360862188,-0.303094782,1.959604803,2.37931567
4067559/,6.647893144,-1.300803185,1.560064001,0.19558613
4022223/,7.47145379,-2.296533518,1.753764097,1.80688187
