prefix et_xtal gap_xtal
4025185/ 1.5244758355984231 1.28721733
4025298/ 1.42421357389685 1.39152886
4026073/ 1.2769171320978785 1.23580332
4026096/ 2.1401011089910753 1.97497845
4026361/ 1.5179024828976253 1.48923209
4026409/ 1.6755513612006325 1.66799594
4026668/ 1.9600194255035603 1.98788882
4027107/ nan 1.92795659
4027448/ nan 1.85450982
4027517/ 1.844148416799726 1.88781045
4027728/ 1.1426621269929456 1.11626767
4028103/ 1.9144544025984942 1.88609817
4028586/ 1.731157101196004 1.768809
4029898/ 1.3809057352991658 1.23715015
4029991/ 1.4767643770028371 1.34593696
4030108/ 1.678494055988267 1.65806889
4031314/ 1.797145612501481 1.8070892
4031829/ 1.5853049169818405 1.53168724
4031850/ 1.5943084503960563 1.53740825
4061577/ 1.1946105120005086 1.30026015
4062606/ 1.363893861998804 1.40300243
4062611/ 1.448188754497096 1.50495326
4063964/ 1.4820034063013736 1.37865551
4067559/ 2.096092937994399 1.74022656
4085610/ 1.7763296241901116 1.74230382
4085930/ 1.6965947424978367 1.67337571
4108657/ 1.281173488801869 1.28155998
4110318/ 0.8813314356011688 0.79931708
4111185/ 1.1490226030000485 1.04234022
4112256/ 1.6438749047083547 1.76818687
4112257/ 1.4858747623002273 1.73097818
4112569/ 1.4434055087040178 1.37820602
4116117/ 1.524515562603483 1.57251953
4116206/ 1.2234487255045678 1.28051538
4116485/ 1.8914647088968195 1.39493405
4116486/ 1.8604389089960023 1.3023599
4123767/ 1.4096822782958043 1.13419457
4304452/ 1.4020313005967182 1.40355788
4304453/ 1.4515661695040762 1.47944098
4304454/ 1.4896849303040653 1.4571434
4319626/ 1.1603944677044638 1.13090027
4331966/ 0.49545105500146747 0.4750471
4502874/ 1.3622738280973863 1.37878342
4503641/ 1.8504353459975391 1.70944206
4503642/ 1.8538837846026581 1.73494978
4506228/ 1.7583304241998121 1.45972025
4508999/ 1.6352575267083012 1.55093747
4509389/ 1.7198383728973567 1.64964349
4511790/ 1.3516807488995255 1.3463458
4511813/ 1.7463816987001337 1.64885711
4513075/ 1.3180916779965628 1.25823339
7017427/ 1.3719814987998689 1.17815129
7037107/ 1.2401172723039053 1.02678798
7050920/ 1.8384050985987415 1.71978679
7052926/ 1.8214110691988026 1.90034681
7053193/ 1.5007383187912637 1.43571255
7053850/ 1.5902500649972353 1.48272428
7055121/ nan 1.87969505
7100462/ 1.496792182799254 1.35667707
7101362/ 1.7234420626045903 1.7120878
7101370/ 1.640797414802364 1.53812252
7101371/ 1.6629869470998528 1.586939
7101829/ 1.732759756701853 1.57709964
7104724/ 1.7269938514946261 1.75121251
7105484/ 1.5614288275974104 1.45334057
